figure_id,chapter,current_title,priority,is_empirical,in_excel,completeness,gap_count,missing_fields,has_fields,book_location,extraction_notes
Fig5.3,5,"US and UK Wholesale Price Indexes, 1790-1940",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.4,5,"US and UK Wholesale Price Indexes, 1790-2010",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.5,5,"UK Wholesale Price Indexes in Gold Ounces and Pound Sterling Price of Gold, 1790",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.6,5,"US Wholesale Price Indexes in Gold Ounces and US Dollar Price of Gold, 1800-2009",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig7.11,7,"Change in Selling Price versus Change in Unit Labor Cost, US 1923-1950",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.12,7,"Change in Selling Price versus Change in Unit Labor Cost, UK 1954-1963",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.13,7,"World Manufacturing Average and Incremental Rates of Profit, 1970-1989",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.14,7,"US Manufacturing Average and Incremental Rates of Profit, 1960-1989",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.15,7,"Average Rates of Profit in US Industries, 1987-2005",1,Yes,No,36%,7,"x_axis, y_axis, observations, context_from_text, key_features, section, page","year_range, data_source, description, bea_table_ref",Chapter 7,
Fig7.17,7,"Incremental Rates of Profit in US Industries, 1987-2005",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
Fig7.19,7,"Deviations of Greek Manufacturing Profit Rates from Average Profit Rate, 1962-19",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
Fig7.20,7,Deviations of Greek Manufacturing Incremental Profit Rates from Average Incremen,1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
